qid,kym
http://www.wikidata.org/entity/Q112977858,https://knowyourmeme.com/memes/yao-ming-face-bitch-please
http://www.wikidata.org/entity/Q113126434,https://knowyourmeme.com/memes/soy-boy-face-soyjak
http://www.wikidata.org/entity/Q54,https://knowyourmeme.com/memes/all-your-base-are-belong-to-us
http://www.wikidata.org/entity/Q56,https://knowyourmeme.com/memes/lolcats
http://www.wikidata.org/entity/Q149,https://knowyourmeme.com/memes/nyan-cat
http://www.wikidata.org/entity/Q62141,https://knowyourmeme.com/memes/facepalm
http://www.wikidata.org/entity/Q88870,https://knowyourmeme.com/memes/polandball
http://www.wikidata.org/entity/Q139274,https://knowyourmeme.com/memes/december-21st-2012
http://www.wikidata.org/entity/Q154619,https://knowyourmeme.com/memes/godwins-law
http://www.wikidata.org/entity/Q211531,https://knowyourmeme.com/memes/the-invisible-pink-unicorn
http://www.wikidata.org/entity/Q217668,https://knowyourmeme.com/memes/planking
http://www.wikidata.org/entity/Q275167,https://knowyourmeme.com/memes/subcultures/bee-movie
http://www.wikidata.org/entity/Q623852,https://knowyourmeme.com/memes/%E5%9B%A7
http://www.wikidata.org/entity/Q695677,https://knowyourmeme.com/memes/7
http://www.wikidata.org/entity/Q703899,https://knowyourmeme.com/memes/the-bielefeld-conspiracy
http://www.wikidata.org/entity/Q799007,https://knowyourmeme.com/memes/badger-badger-badger
http://www.wikidata.org/entity/Q899627,https://knowyourmeme.com/memes/mcdonalds-ran-ran-ru-commercials
http://www.wikidata.org/entity/Q899641,https://knowyourmeme.com/memes/i-love-lean
http://www.wikidata.org/entity/Q927144,https://knowyourmeme.com/memes/pedobear
http://www.wikidata.org/entity/Q937633,https://knowyourmeme.com/memes/chuck-norris-facts
http://www.wikidata.org/entity/Q937781,https://knowyourmeme.com/memes/goatse
http://www.wikidata.org/entity/Q985802,https://knowyourmeme.com/memes/will-it-blend
http://www.wikidata.org/entity/Q1050827,https://knowyourmeme.com/memes/waluigi
http://www.wikidata.org/entity/Q1071902,https://knowyourmeme.com/memes/shock-sites
http://www.wikidata.org/entity/Q1083090,https://knowyourmeme.com/memes/leekspin-loituma-girl
http://www.wikidata.org/entity/Q1263513,https://knowyourmeme.com/memes/duck-face
http://www.wikidata.org/entity/Q1275790,https://knowyourmeme.com/memes/on-the-internet-nobody-knows-youre-a-dog
http://www.wikidata.org/entity/Q1572966,https://knowyourmeme.com/memes/subcultures/rage-comics
http://www.wikidata.org/entity/Q1602458,https://knowyourmeme.com/memes/keyboard-cat
http://www.wikidata.org/entity/Q1634981,https://knowyourmeme.com/memes/jesusland
http://www.wikidata.org/entity/Q2217720,https://knowyourmeme.com/memes/roflcopter
http://www.wikidata.org/entity/Q2328161,https://knowyourmeme.com/memes/o-rly
http://www.wikidata.org/entity/Q2396344,https://knowyourmeme.com/memes/numa-numa
http://www.wikidata.org/entity/Q3189077,https://knowyourmeme.com/memes/banhammer
http://www.wikidata.org/entity/Q3271851,https://knowyourmeme.com/memes/how-does-one-patch-kde2-under-freebsd
http://www.wikidata.org/entity/Q3312333,https://knowyourmeme.com/memes/owned-pwned
http://www.wikidata.org/entity/Q3476798,https://knowyourmeme.com/memes/cultures/seapunk
http://www.wikidata.org/entity/Q3544030,https://knowyourmeme.com/memes/citation-needed
http://www.wikidata.org/entity/Q4139004,https://knowyourmeme.com/memes/events/doppelganger-week
http://www.wikidata.org/entity/Q4376519,https://knowyourmeme.com/memes/preved-medved-%D0%BF%D1%80%D0%B5%D0%B2%D0%B5%D0%B4-%D0%BC%D0%B5%D0%B4%D0%B2%D0%B5%D0%B4
http://www.wikidata.org/entity/Q4738985,https://knowyourmeme.com/memes/amabie
http://www.wikidata.org/entity/Q4765220,https://knowyourmeme.com/memes/animutation
http://www.wikidata.org/entity/Q5053996,https://knowyourmeme.com/memes/kitler
http://www.wikidata.org/entity/Q5066149,https://knowyourmeme.com/memes/chad
http://www.wikidata.org/entity/Q5182417,https://knowyourmeme.com/memes/crasher-squirrel
http://www.wikidata.org/entity/Q5230628,https://knowyourmeme.com/memes/david-after-dentist
http://www.wikidata.org/entity/Q5305757,https://knowyourmeme.com/memes/dramatic-chipmunk
http://www.wikidata.org/entity/Q5319409,https://knowyourmeme.com/memes/dysfunctional-family-circus
http://www.wikidata.org/entity/Q5351290,https://knowyourmeme.com/memes/el-fua
http://www.wikidata.org/entity/Q5362123,https://knowyourmeme.com/memes/first-world-problems
http://www.wikidata.org/entity/Q5365273,https://knowyourmeme.com/memes/hinomoto-oniko-%E6%97%A5%E6%9C%AC-%E9%AC%BC%E5%AD%90
http://www.wikidata.org/entity/Q5583639,https://knowyourmeme.com/memes/goodtimes-virus
http://www.wikidata.org/entity/Q5689085,https://knowyourmeme.com/memes/headon
http://www.wikidata.org/entity/Q5905837,https://knowyourmeme.com/memes/horsemaning
http://www.wikidata.org/entity/Q5980097,https://knowyourmeme.com/memes/i-am-lonely-will-anyone-speak-to-me
http://www.wikidata.org/entity/Q6007476,https://knowyourmeme.com/memes/impossible-is-nothing
http://www.wikidata.org/entity/Q6109370,https://knowyourmeme.com/memes/stefan-karl-stefansson-robbie-rotten
http://www.wikidata.org/entity/Q6649987,https://knowyourmeme.com/memes/little-fatty
http://www.wikidata.org/entity/Q6739825,https://knowyourmeme.com/memes/makmende
http://www.wikidata.org/entity/Q7113821,https://knowyourmeme.com/memes/overly-attached-girlfriend
http://www.wikidata.org/entity/Q7187719,https://knowyourmeme.com/memes/photobombing
http://www.wikidata.org/entity/Q7197902,https://knowyourmeme.com/memes/pirates-vs-ninjas
http://www.wikidata.org/entity/Q7405970,https://knowyourmeme.com/memes/salt-and-ice-challenge
http://www.wikidata.org/entity/Q7714263,https://knowyourmeme.com/memes/grumpy-cat
http://www.wikidata.org/entity/Q7720628,https://knowyourmeme.com/memes/the-burger-king
http://www.wikidata.org/entity/Q7797922,https://knowyourmeme.com/memes/three-wolf-moon
http://www.wikidata.org/entity/Q7804964,https://knowyourmeme.com/memes/the-time-cube
http://www.wikidata.org/entity/Q7923090,https://knowyourmeme.com/memes/very-erotic-very-violent-%E5%BE%88%E9%BB%84%E5%BE%88%E6%9A%B4%E5%8A%9B
http://www.wikidata.org/entity/Q7923092,https://knowyourmeme.com/memes/very-good-very-powerful-%E5%BE%88%E5%A5%BD%E5%BE%88%E5%BC%BA%E5%A4%A7
http://www.wikidata.org/entity/Q9384989,https://knowyourmeme.com/memes/five-stripe-boy
http://www.wikidata.org/entity/Q12265058,https://knowyourmeme.com/memes/ola-k-ase
http://www.wikidata.org/entity/Q12339810,https://knowyourmeme.com/memes/trollface
http://www.wikidata.org/entity/Q13515562,https://knowyourmeme.com/memes/rule-34
http://www.wikidata.org/entity/Q13639319,https://knowyourmeme.com/memes/jia-jun-peng-your-mother-wants-you-to-come-home-for-dinner
http://www.wikidata.org/entity/Q14701411,https://knowyourmeme.com/memes/grammar-nazi
http://www.wikidata.org/entity/Q15056165,https://knowyourmeme.com/memes/horse-head-mask
http://www.wikidata.org/entity/Q15613810,https://knowyourmeme.com/memes/doge
http://www.wikidata.org/entity/Q16710155,https://knowyourmeme.com/memes/stoned-fox-%D1%83%D0%BF%D0%BE%D1%80%D0%BE%D1%82%D0%B0%D1%8F-%D0%BB%D0%B8%D1%81%D0%B0
http://www.wikidata.org/entity/Q16828887,https://knowyourmeme.com/memes/captain-obvious
http://www.wikidata.org/entity/Q16927904,https://knowyourmeme.com/memes/youtube-poop-ytp
http://www.wikidata.org/entity/Q17042352,https://knowyourmeme.com/memes/i-am-error
http://www.wikidata.org/entity/Q17042382,https://knowyourmeme.com/memes/its-dangerous-to-go-alone-take-this
http://www.wikidata.org/entity/Q17515210,https://knowyourmeme.com/memes/why-didnt-you-invest-in-eastern-poland
http://www.wikidata.org/entity/Q17521923,https://knowyourmeme.com/memes/ice-bucket-challenge
http://www.wikidata.org/entity/Q18154904,https://knowyourmeme.com/memes/the-glorious-pc-gaming-master-race
http://www.wikidata.org/entity/Q18738659,https://knowyourmeme.com/memes/bad-luck-brian
http://www.wikidata.org/entity/Q19362881,https://knowyourmeme.com/memes/the-dress-what-color-is-this-dress
http://www.wikidata.org/entity/Q19879826,https://knowyourmeme.com/memes/florida-man
http://www.wikidata.org/entity/Q20011140,https://knowyourmeme.com/memes/charlie-charlie-challenge
http://www.wikidata.org/entity/Q21074710,https://knowyourmeme.com/memes/isis-chan
http://www.wikidata.org/entity/Q21161376,https://knowyourmeme.com/memes/success-kid-i-hate-sandcastles
http://www.wikidata.org/entity/Q21261978,https://knowyourmeme.com/memes/u-mad
http://www.wikidata.org/entity/Q21994166,https://knowyourmeme.com/memes/pepe-the-frog
http://www.wikidata.org/entity/Q22059966,https://knowyourmeme.com/memes/be-like-bill
http://www.wikidata.org/entity/Q22719204,https://knowyourmeme.com/memes/resting-bitch-face
http://www.wikidata.org/entity/Q22906309,https://knowyourmeme.com/memes/super-bowl-xlix-halftime-left-shark
http://www.wikidata.org/entity/Q22907247,https://knowyourmeme.com/memes/netflix-and-chill
http://www.wikidata.org/entity/Q22908558,https://knowyourmeme.com/memes/scumbag-steve
http://www.wikidata.org/entity/Q22908745,https://knowyourmeme.com/memes/shrek-is-love-shrek-is-life
http://www.wikidata.org/entity/Q23308964,https://knowyourmeme.com/memes/the-dab
http://www.wikidata.org/entity/Q24044993,https://knowyourmeme.com/memes/crying-michael-jordan
http://www.wikidata.org/entity/Q24106814,https://knowyourmeme.com/memes/dat-boi
http://www.wikidata.org/entity/Q24204544,https://knowyourmeme.com/memes/bernie-or-hillary
http://www.wikidata.org/entity/Q24833293,https://knowyourmeme.com/memes/yee
http://www.wikidata.org/entity/Q24905903,https://knowyourmeme.com/memes/simpsonwave
http://www.wikidata.org/entity/Q24908818,https://knowyourmeme.com/memes/ted-cruz-zodiac-killer
http://www.wikidata.org/entity/Q25059032,https://knowyourmeme.com/memes/unexpected-john-cena-and-his-name-is-john-cena
http://www.wikidata.org/entity/Q25338354,https://knowyourmeme.com/memes/grimdark
http://www.wikidata.org/entity/Q26388682,https://knowyourmeme.com/memes/harambe-the-gorilla
http://www.wikidata.org/entity/Q26441203,https://knowyourmeme.com/memes/dont-talk-to-me-or-my-son-ever-again
http://www.wikidata.org/entity/Q27998948,https://knowyourmeme.com/memes/thanks-obama
http://www.wikidata.org/entity/Q28048002,https://knowyourmeme.com/memes/om-telolet-om
http://www.wikidata.org/entity/Q28129014,https://knowyourmeme.com/memes/we-are-number-one
http://www.wikidata.org/entity/Q28130150,https://knowyourmeme.com/memes/banana-sprite-challenge
http://www.wikidata.org/entity/Q28135292,https://knowyourmeme.com/memes/oh-long-johnson
http://www.wikidata.org/entity/Q28401391,https://knowyourmeme.com/memes/bush-did-911
http://www.wikidata.org/entity/Q28407001,https://knowyourmeme.com/memes/cultures/fashwave-trumpwave
http://www.wikidata.org/entity/Q28669443,https://knowyourmeme.com/memes/salil-sawarim-saleel-al-sawarim
http://www.wikidata.org/entity/Q30097292,https://knowyourmeme.com/memes/covfefe
http://www.wikidata.org/entity/Q39045617,https://knowyourmeme.com/memes/milkshake-duck
http://www.wikidata.org/entity/Q42417145,https://knowyourmeme.com/memes/i-took-an-arrow-in-the-knee
http://www.wikidata.org/entity/Q47504984,https://knowyourmeme.com/memes/its-okay-to-be-white
http://www.wikidata.org/entity/Q47545258,https://knowyourmeme.com/memes/tide-pod-challenge
http://www.wikidata.org/entity/Q50809919,https://knowyourmeme.com/memes/steamed-hams
http://www.wikidata.org/entity/Q53672376,https://knowyourmeme.com/memes/yanny-or-laurel
http://www.wikidata.org/entity/Q54765858,https://knowyourmeme.com/memes/the-mandela-effect
http://www.wikidata.org/entity/Q55405369,https://knowyourmeme.com/memes/subcultures/morbius-2022-film
